-0.000607,-0.000046
-0.001767,-0.000254
-0.002901,-0.000615
-0.003816,-0.001056
-0.004763,-0.001668
-0.005624,-0.002403
-0.006210,-0.003035
-0.006476,-0.003371
-0.006586,-0.003522
-0.006647,-0.003608
-0.006674,-0.003646
0.011861,0.019492
0.094767,0.123006
0.174103,0.229865
0.251398,0.338375
0.327569,0.447565
0.403362,0.557252
0.478972,0.667034
0.554503,0.776700
0.630250,0.886492
0.706078,0.996135
0.781943,1.105554
0.858073,1.215085
0.934298,1.324501
1.010497,1.433657
1.086924,1.542952
1.145604,1.626718
1.172804,1.665818
1.185681,1.684252
1.191970,1.693231
1.192755,1.694351
1.192704,1.694277
1.192652,1.694204
1.192601,1.694131
1.193198,1.694988
1.193876,1.695810
1.194540,1.696439
1.194863,1.696700
1.195634,1.697256
1.196210,1.697661
1.196410,1.697799
1.196487,1.697851
1.240056,1.725548
1.351260,1.799056
1.462136,1.872982
1.572738,1.947061
1.680706,2.019614
1.743815,2.062955
1.773386,2.083009
1.787126,2.092275
1.793429,2.096498
1.793452,2.096514
1.793475,2.096530
1.793498,2.096545
1.793520,2.096559
1.793541,2.096573
1.793561,2.096587
1.793581,2.096600
